CC_Number,Owner_Name,Expiration_Date,CVV,Email
'3531059364694900','Whitby','9/21/2035','377','wvautier0@nyu.edu'
'3554152742683720','Roseline','12/19/2040','905','rscapelhorn1@bbb.org'
'3566760607994730','Dot','2/19/2032','468','dmeredyth2@rakuten.co.jp'
'4175006218345420','Minnnie','6/25/2037','882','mphilbrook3@wikispaces.com'
'3528126843321940','Alfie','12/25/2023','229','aeynaud4@bing.com'
'3587668806106370','Lutero','12/18/2026','531','lmabbot5@salon.com'
'5007669997963410','Malvina','7/31/2035','730','mboustred6@google.cn'
'5641827455550140','Maighdiln','11/09/2040','876','mfawthrop7@cnn.com'
'6706436644154320','Maud','7/18/2025','927','mcadell8@amazon.co.uk'
'3664776124982660','Lezley','12/10/2036','126','lzelner9@sourceforge.net'
'3053925647942040','Maurizia','04/10/2038','726','mbrockiea@virginia.edu'
'3482347130011350','Mora','6/26/2040','457','mvandijkb@elegantthemes.com'
'5020533778410550','Carmella','06/07/2038','988','ckemmisc@ucoz.com'
'5602238123913150','Cristina','1/26/2027','969','cpatzeltd@amazonaws.com,'
'4917769023356610','Jesus','12/26/2027','810','jcaruthe@goodreads.com'
'2018965677488820','Emily','08/06/2037','211','egoliglyf@biblegateway.com'
'5108759209367530','Steve','08/02/2031','812','sdacthg@wiley.com'
'5471270587971950','Sofia','12/19/2034','720','scleaverh@wordpress.com'
'3737553079285390','Alix','12/22/2030','335','ablazii@economist.com'
'4936013042815800','Gareth','05/01/2036','829','gsheddenj@state.gov'
'3559846809822740','Gusti','9/13/2028','980','ggrinnellk@netlog.com'
'5323804055720150','Dew','4/13/2027','464','dbartolomeul@yellowbook.com'
'2019471174779590','Trip','9/13/2035','717','tconwaym@slashdot.org'
'4903048292696740','Germayne','8/31/2030','522','gdryburghn@sfgate.com'
'5048370457418980','Angelita','05/07/2029','815','ahaggisho@arizona.edu'
'3572262983432260','Kiley','9/25/2038','571','kmartinellip@cam.ac.uk'
'4911682726860160','Isis','1/17/2038','333','iligerq@tiny.cc'
'6709637098407810','Ara','01/12/2035','264','aroskeillyr@statcounter.com'
'3528442074327820','Isacco','7/23/2039','172','imactavishs@ft.com'
'3574668423707500','Hans','2/22/2035','480','hdavidout@indiatimes.com'
'3746221345416210','Fulton','6/24/2024','860','fkrollmanu@php.net'
'5602223411517630','Evie','12/09/2025','782','egerrenv@wordpress.com'
'2016990749646160','Garrek','8/27/2036','875','gdinsmorew@adobe.com'
'3574405791447010','Delmar','06/11/2025','209','dogrowganex@sohu.com'
'5007662278059250','Ruben','03/07/2024','111','rgeffeny@wix.com'
'3546913791348360','Konrad','6/20/2033','786','kskeggsz@yahoo.com'
'4041373506152640','Salomi','5/14/2036','509','sseago10@hhs.gov'
