Order_Number,"Order_Date",Shipping_Method,CC_Number,,,,
0YGFPr,4/19/2007,International Shipping,2.02E+15,,,,
1EJlscU0,05/07/2005,Free Standard Shipping,3.58E+15,,,,
22Z2acmW1NS,02/08/2007,International Shipping,3.54E+15,,,,
2AeDbveF0,4/13/2008,International Shipping,3.55E+15,,,,
2deD8sbFCOg,3/23/2008,International Shipping,4.51E+15,,,,1
2qH42gPfG,06/01/2007,International Shipping,5.02E+15,,,,
3ZVKFK45KR9S,06/01/2008,Standard Shipping,3.58E+15,,,,
4DzdsVz,05/03/2007,Express Shipping,4.34E+15,,,,
4GTR15Ut6,3/16/2008,Free Standard Shipping,5.60E+15,,,,
4vfwcYxc,06/06/2007,Free Standard Shipping,3.56E+15,,,,
4wX5dIP1b,01/04/2006,Express Shipping,2.02E+15,,,,
5EaqWfa,1/17/2005,International Shipping,3.75E+15,,,,
5i56Iqx8Ix,02/08/2008,Express Shipping,3.54E+15,,,,
5mO6ynj,04/09/2007,Express Shipping,4.04E+15,,,,
63AObr,08/04/2005,Free Standard Shipping,4.04E+15,,,,
6xPyE0,7/31/2008,Standard Shipping,3.53E+15,,,,
79362X,08/04/2007,Free Standard Shipping,5.10E+15,,,,
7efodWOZ,12/30/2007,Standard Shipping,3.66E+15,,,,
9QQ3RtPzI0,12/07/2006,International Shipping,6.30E+15,,,,
9R4csLyPqxqP,01/02/2007,Express Shipping,3.53E+15,,,,
9x08yEUGT,06/12/2007,Standard Shipping,5.47E+15,,,,
a1aZ2d,12/08/2007,Express Shipping,6.71E+15,,,,
Adq9D3,4/22/2007,International Shipping,5.10E+15,,,,
ANOX4N,5/18/2008,Free Standard Shipping,3.57E+15,,,,
BDS3hk8MWv,2/16/2005,Standard Shipping,3.56E+15,,,,
bq15gkrUGcu,6/22/2005,Free Standard Shipping,5.58E+15,,,,
bxrKgrRifweB,2/25/2008,Express Shipping,6.71E+15,,,,
C1hvLwQhyAu,12/18/2006,Standard Shipping,5.11E+15,,,,
CBniEVlA,12/06/2007,International Shipping,5.64E+15,,,,
Ck1g3e6c,6/14/2008,Sipping method,3.53E+15,,,,
cuct9rrx4ZJ,03/04/2005,Free Standard Shipping,3.55E+15,,,,
CzdujXqO,6/25/2005,Free Standard Shipping,3.59E+15,,,,
d2rW9C0ijC,08/09/2005,Standard Shipping,6.39E+15,,,,
DbpRgGZfRWZ,07/05/2007,Express Shipping,4.18E+15,,,,
DlndsMd,4/24/2008,Express Shipping,3.03E+15,,,,
dQbgHwLzv,4/24/2007,Standard Shipping,6.71E+15,,,,
DSqvY6utccyL,12/15/2007,Free Standard Shipping,5.60E+15,,,,
e7FecyPw,12/20/2006,Express Shipping,2.02E+15,,,,
F2jcJkjiRITc,03/07/2008,International Shipping,3.53E+15,,,,
Gj8bd2RmX,9/29/2006,Free Standard Shipping,5.01E+15,,,,
GkH3bjOjpMjP,05/03/2005,International Shipping,5.10E+15,,,,
hG6JyJgu,06/05/2005,Standard Shipping,5.02E+15,,,,
htRsM5kiu,4/15/2007,Standard Shipping,3.56E+15,,,,
hYbRBxtiPejw,08/11/2005,Standard Shipping,2.02E+15,,,,
I2iTPEEXTm,5/30/2007,Express Shipping,3.74E+15,,,,
ICZZM4y,07/02/2007,Express Shipping,2.02E+15,,,,
iO9KXq3sz37,5/29/2008,International Shipping,3.58E+15,,,,
IruaraDQkt,12/31/2007,Express Shipping,5.32E+15,,,,
itX1dqK,08/12/2007,International Shipping,4.92E+15,,,,
IZRvMI18V,8/13/2008,Free Standard Shipping,4.90E+15,,,,
jY8oK3M6IjG,6/27/2008,Free Standard Shipping,3.59E+15,,,,
k6Wr53NpKXx,03/11/2007,Express Shipping,3.47E+15,,,,
k7uTblh6B,4/30/2008,Standard Shipping,3.56E+15,,,,
kYsU2KhMDgqO,8/15/2007,Free Standard Shipping,3.55E+15,,,,
M5MGbwl,12/27/2005,Express Shipping,6.37E+15,,,,
MdYvtPHa0YbY,04/10/2007,Standard Shipping,5.05E+15,,,,
mp0juaV5WCj,2/17/2005,Express Shipping,3.56E+15,,,,
myLhT9lPeTI,08/08/2005,Express Shipping,3.53E+15,,,,
NEDfEnqJu,09/08/2006,Free Standard Shipping,3.56E+15,,,,
Order_Number,12/27/2007,Shipping_Method,CC_Number,,,,
PX8lp3mPX,6/19/2007,International Shipping,3.55E+15,,,,
pz987VKfLOGh,04/03/2008,International Shipping,5.60E+15,,,,
Q91xENG4z,12/20/2004,Free Standard Shipping,4.91E+15,,,,
qcfOhcIAXUB,04/06/2008,Free Standard Shipping,3.57E+15,,,,
QKh1kPd,1/20/2007,Express Shipping,3.58E+15,,,,
qmscPPD0LwG,3/21/2007,Express Shipping,3.53E+15,,,,
QuAbsG,3/29/2008,Free Standard Shipping,3.56E+15,,,,
qV6ZmJoHOj,4/17/2006,International Shipping,3.57E+15,,,,
Rqks25BzvET,4/24/2005,Express Shipping,6.71E+15,,,,
RuJmvflTP,03/12/2007,Free Standard Shipping,5.60E+15,,,,
sdcIA9oYSG,5/15/2006,International Shipping,4.90E+15,,,,
sl9C1L,3/20/2008,International Shipping,3.55E+15,,,,
T6bJLTTp,04/03/2007,International Shipping,3.53E+15,,,,
taejto9x3l,12/06/2005,International Shipping,3.58E+15,,,,
tDjD68G,5/21/2007,Standard Shipping,3.48E+15,,,,
timrZINJC,5/15/2007,International Shipping,3.05E+15,,,,
Tm0BXO,9/25/2007,Express Shipping,3.57E+15,,,,
tR4YT740,12/26/2005,International Shipping,3.04E+15,,,,
u6dUCTpS5lj,1/28/2006,International Shipping,3.56E+15,,,,
uNyabNfPwF,3/27/2005,Express Shipping,4.94E+15,,,,
uOCPGn4SW,05/11/2008,Standard Shipping,5.60E+15,,,,
uqUiCQl1nR1n,08/12/2005,International Shipping,6.30E+15,,,,
uVQtfo,08/08/2005,International Shipping,3.56E+15,,,,
UZGSPwYJ,04/11/2007,Free Standard Shipping,5.01E+15,,,,
V3jkaRaDM,6/26/2008,Express Shipping,3.59E+15,,,,
VlyahPJmGN,5/25/2006,Express Shipping,5.52E+15,,,,
VMDcYAvwTxdd,3/20/2007,Free Standard Shipping,5.11E+15,,,,
Vnxtz2Jux6a,01/03/2008,Free Standard Shipping,3.58E+15,,,,
w01n77V6C8U,9/28/2005,Express Shipping,2.02E+15,,,,
XfuiyQlmyC1,6/29/2005,Free Standard Shipping,3.55E+15,,,,
xNtNyHN7d,3/14/2008,Standard Shipping,6.39E+15,,,,
xR3Ab0Kv,12/16/2005,Free Standard Shipping,3.57E+15,,,,
xTKcTPnYWS,3/17/2007,International Shipping,5.01E+15,,,,
y7fU9fVZpOg,11/13/2006,Standard Shipping,3.38E+15,,,,
YD0gr5ucX,12/17/2006,International Shipping,5.60E+15,,,,
yDgDcX,1/23/2007,Express Shipping,5.60E+15,,,,
ypp5Q4RaHFO,3/15/2006,Standard Shipping,3.54E+15,,,,
Z1MIMxak7K5Q,05/06/2007,Standard Shipping,5.52E+15,,,,
Zboq2vE3,04/09/2005,International Shipping,3.57E+15,,,,
zSoDXMOZ9n8y,07/04/2005,International Shipping,3.54E+15,,,,
zyyAdzXg,07/04/2005,International Shipping,4.92E+15,,,,
